cl1,date,message,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT
13,2021-01-14 17:00:44,"Three things were particularly remarkable about the former California governor’s eight-minute video message that went viral on Sunday, writes columnist George Skelton:",0.008850546,0.00055734214,0.01216661,0.007441523,0.0038371023,0.010986985
14,2021-01-14 5:01:00,"“This is like the Germans with the Jews behind the wall,” Beck declared. “They would put them in the ghetto. This is the digital ghetto.”",0.36805952,0.039698046,0.47464412,0.3057632,0.23277909,0.19610237
15,2021-01-15 12:00:38,"Shula Cohen, aka The Pearl, spied for Israel in Lebanon for 14 years, smuggling Jews into Palestine. This is her story: https://aje.io/66t7h",0.23101798,0.015456955,0.23038465,0.13663808,0.06399493,0.04083008
16,2021-01-17 17:00:42,"""I had been lonely, afraid, and desperate for answers in a scary world, and finding a community of people who offered respite from this pain and fear was better than therapy,"" says Elad Nehorai.",0.011731312,0.00047559862,0.013838889,0.013563368,0.0046742884,0.012178943
17,2021-01-17 14:11:46,"Raoul Wallenberg’s heroic rescue efforts during the Holocaust saved tens of thousands of Hungarian Jews from persecution and death. As we honour his bravery today, we must also reflect on his legacy and continue to fight antisemitism, hatred, and racism.",0.13835071,0.0063314065,0.14334813,0.055063367,0.020371525,0.03261779
18,2021-01-22 20:01:13,"What happens to QAnon believers now that Trump is out of office? 8chan founder Fredrick Brennan tells CBS News' Dan Patterson they’re vulnerable to neo-Nazi and white supremacist groups, who want to exploit their disappointment and turn them against Jews.",0.4396069,0.05538792,0.5855191,0.40798888,0.12024266,0.16839142
19,2021-01-24 19:18:24,"Following are Prime Minister Benjamin Netanyahu’s remarks at the start of the Cabinet meeting: ""Today we are closing Ben-Gurion International Airport. Contrary to what is being said, we are ahead of the whole world. No country has done what we are about to do. We are doing this. We are hermetically closing the skies apart from very rare exceptions in order to prevent the entry of mutated viruses and in order to ensure that we will advance quickly with our vaccines operation, 'Back to Life', so that we will vaccinate more Israelis within a short time. I would like to emphasize that just this week, in which we are approving closing the skies, we will vaccinate another approximately one million Israelis. We are thereby ensuring that the damage from the mutation, if it enters, and from additional variants, if they enter, will be much smaller, and of course, we will be able to open our economy. Until now we have vaccinated approximately 2.5 million Israeli citizens with the first dose of the vaccine. Of these, around one million citizens have received the second dose. I would like to appeal to people over 60 who have yet to be vaccinated; this is about 20% of you. 80% is a very fine result but it is not enough because 20% of you are susceptible to being hurt. I urge you – go and be vaccinated. Our goal is to increase the pace of vaccinations within a few days, perhaps tomorrow or the day after, to 250,000 vaccinations per day. This is a vast number. In the US, up until today, approximately four million people have been vaccinated with two doses. We have 1/40 the population and have already vaccinated one million people with two doses. That means we are vaccinating at 10 times the pace as the US. In this way, we are guarding the outer envelope and massively vaccinating from within. Later this week we will hold a discussion on the strategy for exiting the lockdown. I assure you that we will do this cautiously and responsibly. I would like to say something about following the directives. I expect all citizens of Israel to follow the directives, and this includes all sectors, including the ultra-orthodox sector. I must point out that the majority in the ultra-orthodox sector are following the directives, but there are exceptions and exceptions whose actions are unacceptable. Therefore, whoever does not follow the directives, we will act and we will enforce the law. We will also enforce the directives, of course, as needs to be done, everywhere. I would also like to say that I am advancing legislation, which we will submit to the Knesset tomorrow, regarding the fines. This is what must be done. We are submitting it for a first reading because this is what the law says must be done when the Knesset is in recess but the intention is to pass it on its second and third readings without delay. This is also my directive; I hope that you will also cooperate. Today we are also submitting the historic agreement on the establishment of relations between Israel and Morocco. Indeed this is a historic moment, after four peace agreements with four Islamic and Arab countries in four months. I would like to commend King Mohammed VI of Morocco on the cooperation between us. Together we are advancing direct flights between the countries, which will happen soon, as well as economic, commercial and technological cooperation and – of course – the opening of missions in the two countries. I would like to take this opportunity to again congratulate President Joe Biden and Vice President Kamala Harris on their entry into office. I look forward to working with President Biden to further strengthen the strong alliance between the US and Israel, expand the circle of peace between Israel and the Arab world on behalf of a new Middle East and – of course – to also deal with our common challenges, especially the Iranian threat."" The Prime Minister added: ""This week we will mark International Holocaust Remembrance Day. The victims of the Holocaust, six million of our people; this is a number that we have already surpassed in the State of Israel. Nevertheless, there are those who aspire to destroy the State of Israel and say so openly, on a daily basis, and this is the regime of the ayatollahs in Iran. They speak not about the annihilation of another six million, we are already approaching seven million Jews, they intend to try and destroy us – inter alia – by developing nuclear weapons. They are furthering the new antisemitism with a wave that opposes what we are doing with some of the Arab countries, who have already changed their attitude to the Jewish people, to Jews in general, and also to the State of Israel. They are stoking venomous antisemitism any way they can in order to destroy us and kill additional millions. Of course, their strange allies, that they have in Europe, who are sometimes anti-Muslim as well, are also in on this. They share this anti-Jewish, antisemitic line. Therefore, we are also fighting antisemitism. When (truncated)",0.09709594,0.0034332275,0.015603342,0.023607591,0.006383543,0.011384304
20,2021-01-24 15:25:04,"A bomb exploded on Saturday at a California church that had been the target of protests for promoting hateful views of Black, Jewish, LGBTQ people and women.",0.1609341,0.0077284775,0.264653,0.13200422,0.0418593,0.035703126
21,2021-01-26 18:19:37,Some Jewish leaders said the growth of crimes against Jews intensified under former President Trump.,0.29261994,0.018191647,0.40073952,0.14594065,0.11738662,0.15651532
22,2021-01-26 11:45:08,"""Whereas other series masked their Jews or only acknowledged them in reference to Christian or secular traditions, Rugrats told me that my faith and traditions were equally as exciting and important as those of mainstream America."" (from 2014)",0.089041,0.0028387292,0.12424089,0.05438795,0.013115914,0.013158381
23,2021-01-27 18:22:53,"Today is Holocaust Remembrance Day. The Nazis murdered over 6 million Jews, including over 1 million people at Auschwitz. Cipora was taken to Auschwitz when she was a teenager and witnessed horrific things. She wants to make sure young people never forget history.",0.2712817,0.016408153,0.2980635,0.17116629,0.043812733,0.25018337
24,2021-01-27 16:55:03,"In The New York Times Opinion Section “I learned that the man I had believed was a savior who did all he could to rescue Jews during World War II had, in reality, ordered all Jews in his region of Lithuania to be rounded up and sent to a ghetto,” writes Silvia Foti.",0.13431281,0.0043695625,0.13511916,0.06091697,0.020092463,0.024708362
25,2021-01-27 14:30:27,"Chiune Sugihara was told by his superiors not to help Jews fleeing the Holocaust in 1940. He rescued them anyway because, he decided, ""this would be the right thing to do.""",0.13146462,0.005855808,0.1483372,0.06519461,0.026371358,0.048235677
26,2021-01-27 14:02:12,"More than six million Jews were murdered by the Nazi regime, and countless others suffered under the heinous crimes they perpetrated. The pain and loss endured during the Shoah must never be forgotten - and together, we must vow: Never Again. #WeRemember",0.29021257,0.0200857,0.34023884,0.13380101,0.036278058,0.26036507
27,2021-01-27 13:52:05,"EDITORIAL | Never forget: America’s duty on Holocaust Remembrance Day “Camp Auschwitz” was at the Capitol on the shirt of an invading insurrectionist. The horrifying obscenity shows not just extremists’ hatred, but the dire need for far better education.",0.2712817,0.008085176,0.038672898,0.100814514,0.012976383,0.01338014
28,2021-01-27 6:01:08,"Today, January 27th, the world officially commemorates the six million Jewish men, women and children brutally murdered by the Nazis and their collaborators in the Holocaust. We remember this darkest chapter in human history, when a European country decided to adopt a policy and a program to exterminate every last Jew, mobilizing the full power of a modern developed industrial state to implement this incredible nightmare. The mass murder of the Jewish people did not happen in a vacuum. For centuries antisemitism had been all too prevalent across Europe. Unchallenged, it grew and festered and then exploded. This oldest of hatreds had unquestionable longevity. Its roots stretch back to the ancient world. It was ever-present throughout the middle ages. And yet, it exploded with full force in the modern era. And if people thought that following the horrors of Auschwitz and Treblinka, humanity would finally learn its lesson and rid itself of antisemitism, that it would throw it into the dustbin of history where it belongs, well, they were wrong. Dead wrong. In the twenty-first century, the disease of antisemitism continues to contaminate and spread. It can be found alive, kicking and pernicious on North American university campuses, in South Asian madrassas, among European elites. Antisemitism exists in the affluent West and in the developing world in the East. It is the official policy of the government of the Islamic Republic of Iran, which unabashedly and proudly says day in and day out: our goal is to murder another six million Jews, to eradicate the Jewish State of Israel. A vaccine to safeguard against the antisemitism virus has yet to be found. It is said that some things never change. But I can tell you what has changed. We the Jewish people have changed. If at the time of the Holocaust, the Jews were homeless, stateless, defenseless, begging others to protect us – no longer. Today we are firmly rooted in our ancient land, free and strong in our independent state. As prime minister of the country that was reborn after the Holocaust, the country that provided a homeland for the survivors, a state that rose from the ashes, a state in which the Jewish people regained their sovereignty and independence, I vow never to forget the tragic past and never to allow the Jewish people to once again be defenseless against the forces that seek our destruction. Never again isn’t a slogan. This is our policy and this is our mission and we will always carry it out. Video: Omer Miron, GPO Sound: Ben Peretz, GPO #HolocaustMemorialDay",0.31661135,0.059870746,0.37068644,0.24815577,0.11133747,0.32029283
29,2021-01-27 4:00:27,"Today, on International Holocaust Remembrance Day, we honour the courage and wisdom of the survivors and their testimony, which lives as a light to all generations to follow. We owe it to them and we owe it to our children to remember. The murder of six million Jews and countless others during the Holocaust is one of the darkest chapters in all of human history. We must remember - today, tomorrow and always - and repeat our vow: never again.",0.15743166,0.009630872,0.10196566,0.032552082,0.017580906,0.036272787
30,2021-01-28 16:03:56,"Prime Minister Benjamin Netanyahu and Health Minister Yuli Edelstein visited a Clalit Health Services clinic in Ar'ara BaNegev. Also participating in the visit were Clalit Chairman Yohanan Locker, Ar'ara BaNegev Local Council Chairman Naif Abu Arar and Dimona Mayor Benny Biton. Prime Minister Netanyahu: ""My first message in Ar'ara is that I am happy and proud to be here. It took 40 hours since our meeting in my office for me to come here. I have come here in order to save lives. We are fighting to save lives. We have brought vaccines for every citizen of the State of Israel, everyone without exception, Jews, Arabs, Muslims, Bedouin, Circassians, Druze, Christians – everyone without exception. We are in a situation in which we can exit from this accursed disease and gradually open our economy. We must make a common effort to exit from the coronavirus thanks to the millions of vaccines that we have. We can open our economy if we take care to fight the mutation. The mutation is currently striking the whole world; we are in a close race with it. We want to win and get rid of it; for this, a final effort is required. I know how difficult this is for citizens, the self-employed and businesses. I understand this. We all understand this. Nevertheless, this effort is required because only we will be able to end the pandemic. At the upcoming Cabinet meeting, I will seek to add at least two weeks to the closure of the borders and the halt to flights. We closed the land crossings because we do not want to allow the new mutations to enter at a time when we are running to be vaccinated. We can do this. In the US, it will be necessary to lock down the country for six months to a year. We need to close for a few weeks. We can end and vaccinate everybody and we are being released. This is a great thing. To this end, an effort is needed, an addition to the lockdown, which I know, is difficult, closing the borders as well. With G-d's help, and with yours, come and be vaccinated. We will be able to exit from this."" Prime Minister Netanyahu added: ""We submitted the fines law and we said that we would approve it as written. We want to vote on it now and pass the law. We need to convene and do this. Let us pass the decisions. We have no problem with the fines law as written. We have no problem in passing it today in the Knesset and we will pass it as quickly as possible. It is necessary to convene the Cabinet and make decisions to save lives and free the economy; they go together."" Clalit Health Services Southern District Director Hedva Emuna: ""In the month that has passed since the start of the operation, we have made the important vaccine accessible to the Bedouin communities and the far-flung villages in order to allow vaccinations close to home. We are proud of the Clalit teams in the south for their ability to give everyone the service they deserve and hope that by making vaccines accessible, the pace of vaccination in Arab society in the Negev will increase."" Photos: Koby Gideon, GPO",0.112144895,0.0059152576,0.023503875,0.040763415,0.015487941,0.014211739
31,2021-01-29 15:59:58,"Notably, President Trump's landmark executive order on anti-Semitism has been scrubbed from the Biden White House's website.",0.12888865,0.0039236885,0.1407495,0.11885968,0.016046064,0.016170615
32,2021-01-29 13:55:03,"Rabbi Chaim Kanievsky, the spiritual leader of hundreds of thousands of ultra-Orthodox Jews, has become one of the most consequential and controversial people in Israel. He is at the center of tensions over coronavirus restrictions in the country.",0.09709594,0.0043695625,0.13598537,0.057990167,0.019813402,0.02012533
33,2021-01-29 11:30:30,Some of Israel's ultra-Orthodox Jews are resorting to violence and extreme slurs in a battle over coronavirus restrictions.,0.35870504,0.027930638,0.48406938,0.28602606,0.12105867,0.2365003
34,2021-01-29 4:01:00,"Throughout history, Jews have time and again been blamed for the evils of the world. Unfortunately, examples are all too plentiful.",0.31693128,0.018786145,0.44022632,0.22506444,0.15580659,0.03741211
35,2021-01-30 21:31:33,"“'... classism, homophobia, Islamophobia, and transphobia' were all listed as examples of oppression, anti-Semitism was not part of the list. 'Jewish Americans were not even mentioned as a minority group.'""",0.28874767,0.013554561,0.398219,0.2177395,0.024138862,0.015690137
36,2021-01-30 13:31:41,Why conspiracy theorists always end up pointing the finger at Jews — and why that’s a problem for the GOP.,0.31639808,0.0121277645,0.14735353,0.09010019,0.016185595,0.012973581
37,2021-01-31 16:48:23,Israel predicted a turnaround in the COVID-19 crisis could be weeks later than previously thought on Sunday as coronavirus variants offset its vaccination drive and a large funeral crowd of ultra-Orthodox Jews defied a five-week-old national lockdown.,0.20816301,0.010284821,0.2980635,0.1341793,0.050641906,0.051653646
38,2021-01-31 15:38:32,"“'... classism, homophobia, Islamophobia, and transphobia' were all listed as examples of oppression, anti-Semitism was not part of the list. 'Jewish Americans were not even mentioned as a minority group.'""",0.28874767,0.013554561,0.398219,0.2177395,0.024138862,0.015690137
39,2021-02-02 18:28:23,"Prime Minister Benjamin Netanyahu and Health Minister Yuli Edelstein issued statements on the issue of the coronavirus. Prime Minister Netanyahu: ""We are in the midst of a race between the 'Back to Life' vaccines operation and the mutation. This vaccines operation is our key to the coronavirus exit plan. When I say that a mutation is striking us, it is striking the entire world. In Germany they are currently talking about extending the state of emergency until June and in other countries they are extending the tightened lockdowns for many weeks. Three times as many people have died in Britain as in Israel. Every one, of course, is a loss. The mutation is also striking us. I would like to show you to what extent it is spreading. [A slide is shown.] Several days ago, it was responsible for 70% of our samples. It seems that it currently stands at 80%, a powerful and rapid spread. This is what is challenging our health system. 97% of those who have died are in the 50-and-over age group. Almost 100% of the deceased are there. Regarding serious cases, 93% of serious cases are in the 50-and-over age group. This is striking us and doing so very clearly. If we take control of the disease in these ages, if we succeed in vaccinating and protecting the people in this group, to a large extent we will be on the way to victory over the coronavirus, of course, if there are no surprises such as new mutations that we are not familiar with and which could enter Israel. This is why we closed the borders as you know. Today, I am proposing a national goal as the basis for our exit from the coronavirus: To vaccinate at least 90% of the 50+ age group within two weeks. This is an achievable goal because 77% of them are already vaccinated. We hope to complete this within the next two weeks. I call on whoever is watching us this evening, if you have not yet been vaccinated, go and be vaccinated. It is important not only for you, it is important for all of us because it is what will enable us to gradually open the economy and it is what will enable us, mainly, to save lives. I would like to tell you, every day is decisive. The significance of another three days of lockdown is another approximately 200,000 protected people. That is to say, people who received the second vaccine plus one week. Among these are 120,000 people over 50. This is simply the saving of lives. Vaccinating the 50+ age group will enable us to gradually exit from the lockdown, to save many lives and open the economy. I know that we do not intend to do this waiting for the opening. We will start the gradual opening already next week but we will exit cautiously. I will submit this national goal to the Cabinet and we will submit it together with our exit plan. I reiterate: We will exit cautiously for the exact reason you have seen here and what is happening around the world. We are one people. We will overcome this. I call on everyone: Jews, Muslims, Christians, Druze, religious, secular, everybody: Go and be vaccinated. We are not delaying the vaccines of all the rest. This is being done according to the Health Ministry preferences. But first of all I call on everyone over 50: Go and be vaccinated immediately.""",0.11600884,0.005647734,0.033721898,0.061592385,0.018418092,0.014618298
40,2021-02-02 14:50:34,"The rise of the American far right has enabled the spread of anti-Semitism, writes Vox's Zack Beauchamp.",0.15217799,0.004458737,0.13685158,0.09968669,0.016394893,0.015098778
41,2021-02-02 9:15:00,📸 FLOUTING RULES: Ultra-orthodox Jews take part in the funeral of a Jewish spiritual leader in Jerusalem. https://abcn.ws/2MMu3NT,0.16758743,0.009987571,0.25424477,0.10701754,0.02776667,0.021825487
42,2021-02-03 23:17:48,"64% of London’s population of ultra-Orthodox Jews have contracted COVID This gives the community “one of highest rates in the world,” a report says.",0.21892473,0.0111171175,0.24904063,0.11096492,0.03767337,0.021012368
43,2021-02-03 22:45:59,"Apparently, it’s fine with House Republicans if one of their members advocates violence and touts dangerous, racist and anti-Semitic conspiracy theories—so long as they do it before entering office.",0.355017,0.015694754,0.1250509,0.18263249,0.014650755,0.022712525
44,2021-02-03 21:31:03,"“She is a problem for our party,” the longtime GOP strategist said of the QAnon-peddling congresswoman.",0.17661177,0.0035372647,0.035302002,0.18033926,0.013883335,0.0138791
45,2021-02-04 18:30:30,"Why is it, as writer and comedian David Baddiel asks in his short polemic, that Jews Don’t Count? - The FT's Robert Shrimsley book review.",0.20302857,0.0075204032,0.2854695,0.120551415,0.03655712,0.016725015
46,2021-02-04 13:04:02,"Why is it, as writer and comedian David Baddiel asks in his short polemic, that Jews Don’t Count? - The FT's Robert Shrimsley book review",0.21274342,0.008858024,0.30100468,0.1332336,0.045786258,0.01901653
47,2021-02-04 9:46:11,"“White supremacists don't care whether or not Jews go to synagogue, they just think they control the world.” Comedian David Baddiel speaks to @BBC Newsnight's Emily Maitlis about his new book, Jews Don't Count, in which he argues that anti-Semitism is often the forgotten racism. bbc.in/2YKKjBv",0.4151741,0.043620516,0.53870773,0.35989308,0.13778692,0.029069634
48,2021-02-06 15:55:00,"Prime Minister Benjamin Netanyahu: When the ICC investigates Israel for fake war crimes – this is pure antisemitism. The court established to prevent atrocities like the Nazi Holocaust against the Jewish people is now targeting the one state of the Jewish people. First, it outrageously claims that when Jews live in our homeland, this is a war crime. Second, it claims that when democratic Israel defends itself against terrorists who murder our children and rocket our cities - we are committing another war crime. Yet the ICC refuses to investigate brutal dictatorships like Iran and Syria, who commit horrific atrocities almost daily. As Prime Minister of Israel, I can assure you this: We will fight this perversion of justice with all our might!",0.34388447,0.036616106,0.15243612,0.13720548,0.026789952,0.06304688
49,2021-02-07 19:09:17,"An unusual libel case in Poland pertaining to the Holocaust has the potential to affect both the future of academic research as well as how the country comes to grips with its treatment of Jews during WWII, advocates say.",0.14822112,0.006509756,0.14773607,0.053487394,0.02958057,0.023969162
50,2021-02-07 18:36:12,"The Security Cabinet completely rejects the scandalous decision of the court that could enable the investigation of Israel for false war crimes. The Cabinet determines that the court has no authority to make such a decision. Israel is not a member of the international court and the Palestinian Authority does not have the status of a state. The international court was established to prevent horrors such as those that were perpetrated by the Nazis against the Jewish people. Instead, it is persecuting the state of the Jewish people. Even as it allows the investigation of Israel, the only democracy in the Middle East that is committed to the rule of law, the court shuts its eyes to the awful war crimes being perpetrated time and again by dark dictatorships such as Iran and Syria. The claim that Jews living in their homeland and their capital of Jerusalem constitutes a war crime is scandalous. Also, the claim that the IDF – there is no more ethical army – is carrying out war crimes even as it protects us from terrorists that launch rockets at our cities – is no less scandalous. The judges' decision exposes the court as a political body aligned with international organizations that are motivated by antisemitism. The Security Cabinet instructs the relevant elements to take the necessary steps to protect the interests of the state and to defend its citizens and soldiers.",0.2835225,0.015575855,0.28807157,0.19074535,0.029022448,0.03128723
51,2021-02-07 12:30:49,"Joe Biden is de-listing the Houthi rebels of Yemen as a terrorist organization, despite the fact that the group attacks civilians, considers the U.S. an enemy, and is armed and funded by Iran.",0.22598907,0.009333623,0.13555226,0.1317205,0.017022781,0.06760417
52,2021-02-08 13:55:04,"During the pandemic, some members of Israel's ultra-Orthodox Jewish community have decided to leave it for a secular life. Experts attribute this to a breakdown of supervision and routine, a rise in internet use and more time for self-discovery.",0.11407687,0.0033589152,0.14334813,0.05618906,0.015487941,0.016909815
53,2021-02-10 4:42:08,"Warsaw court rules that 2 historians tarnished the memory of a Polish villager accused of giving up Jews to Nazis during the Holocaust and must apologize, leading academics to warn the case could deter impartial research into Poland's actions during WWII. https://on.msnbc.com/371OKwi",0.13146462,0.0074312286,0.1484465,0.062267803,0.031115413,0.02655636
54,2021-02-10 3:54:08,The teenager is being called the youngest person in Britain to ever be convicted of terrorism offenses.,0.094410956,0.0032994654,0.06570071,0.06474433,0.017650671,0.030843712
55,2021-02-10 3:21:36,"Warsaw court rules that 2 historians tarnished the memory of a Polish villager accused of giving up Jews to Nazis during the Holocaust and must apologize, leading academics to warn the case could deter impartial research into Poland's actions during WWII.",0.13082063,0.005439659,0.14680704,0.054613087,0.035998996,0.0255954
56,2021-02-10 1:42:07,"With white nationalism surging, it calls on Blacks and Jews of all backgrounds to rise together.",0.42234805,0.06323286,0.5468703,0.35505536,0.22755663,0.03320915
57,2021-02-11 20:00:35,Lucasfilm says Gina Carano is no longer a part of “The Mandalorian” cast after many online called for her firing over a social media post that likened the experience of Jews during the Holocaust to the U.S. political climate. via CANVAS public media arts.,0.0825038,0.0034629526,0.09953563,0.0494349,0.013743803,0.02529972
58,2021-02-11 16:39:41,"Gina Carano is no longer part of ""The Mandalorian."" The actress, who plays Cara Dune on the ""Star Wars"" TV series, has been dropped by Lucasfilm, and thus the sci-fi franchise as a whole. Carano's termination from the series comes a day after the actress shared two controversial political posts to social media that generated swift backlash among fans. https://cbsn.ws/3rJE6Ct",0.021518974,0.001560558,0.017973501,0.02639358,0.012348494,0.013084461
59,2021-02-11 16:35:48,Gina Carano will not return to “The Mandalorian.” Lucasfilm said that the actress was not currently employed by the studio and that her “social media posts denigrating people based on their cultural and religious identities are abhorrent and unacceptable.”,0.08635602,0.0016125765,0.035618026,0.105889715,0.009697405,0.011181024
60,2021-02-11 16:07:40,"Gina Carano has been fired from her job on ""The Mandalorian,"" after she posted on social media that today's political climate in the U.S. is similar to Nazi Germany's treatment of Jews.",0.3123962,0.01747825,0.39899683,0.25636464,0.090296336,0.033061307
61,2021-02-11 15:30:24,The star actress got canned for a controversial social media post,0.08850401,0.0036561643,0.041201066,0.07059793,0.025952766,0.023895243
62,2021-02-11 13:42:28,"Gina Carano has been cancelled. Carano was under constant scrutiny from a social media mob that took issue last August with social media posts in which she described some BLM activists as “cowards and thugs.” Now, Lucasfilm has fired Gina Carano over a social media post that critics said likened the experience of Jews during the Holocaust to the current U.S. political climate.",0.3170379,0.013376211,0.16028628,0.40798888,0.07532477,0.022342926
63,2021-02-11 13:20:34,Lucasfilm says Gina Carano is no longer a part of “The Mandalorian” cast after many online called for her firing over a social media post that likened the experience of Jews during the Holocaust to the U.S. political climate.,0.103539884,0.0041317632,0.13208744,0.05573878,0.020511057,0.033994142
64,2021-02-11 12:01:00,Gina Carano will not return to the “The Mandalorian” following swift backlash to the actress sharing a social media post that implied the treatment of Republicans was similar to that of Jews in Nazi Germany.,0.2459383,0.010700969,0.24643858,0.153967,0.027208544,0.018646931
65,2021-02-11 5:36:55,Lucasfilm drops 'Mandalorian' star Gina Carano after offensive social media posts. - Today Show,0.059728492,0.0032697406,0.037619494,0.06046669,0.0238598,0.023821324
66,2021-02-11 5:11:28,Lucasfilm drops 'Mandalorian' star Gina Carano after offensive social media posts. - Today Show,0.059728492,0.0032697406,0.037619494,0.06046669,0.0238598,0.023821324
67,2021-02-12 19:36:16,Lucasfilm says Gina Carano is no longer a part of “The Mandalorian” cast after many online called for her firing over a social media post that likened the experience of Jews during the Holocaust to the U.S. political climate.,0.103539884,0.0041317632,0.13208744,0.05573878,0.020511057,0.033994142
